Sample_ID,Trt,Block,Year,MR.Func.Ev,Tot.Resp
1,Compost,1,2018,3.97,8.14
2,Control,1,2018,4.16,7.34
3,Compost,2,2018,4.11,8.72
4,Control,2,2018,4.22,7.57
5,Compost,3,2018,4.1,8.49
6,Control,3,2018,4.51,6.51
7,Compost,4,2018,4.04,9.25
8,Control,4,2018,4.54,6.14
9,Compost,5,2018,4.31,10.11
10,Control,5,2018,4.35,8.53
11,Compost,6,2018,4.52,7.95
12,Control,6,2018,4.42,8.3
13,Compost,7,2018,3.73,12.31
14,Control,7,2018,3.82,12.25
15,Compost,8,2018,3.72,12.85
16,Control,8,2018,3.8,11.86
1,Compost,1,2019,4.52,6.06
2,Control,1,2019,4.16,5.85
3,Compost,2,2019,3.94,5.74
4,Control,2,2019,3.84,4.22
5,Compost,3,2019,4.35,3.57
6,Control,3,2019,3.94,4.85
7,Compost,4,2019,4.2,4.25
8,Control,4,2019,4.09,4.04
9,Compost,5,2019,3.93,7.2
10,Control,5,2019,4.3,6.14
11,Compost,6,2019,4.38,4.91
12,Control,6,2019,4.57,4.9
13,Compost,7,2019,3.79,8.01
14,Control,7,2019,3.84,7.05
15,Compost,8,2019,4.54,5.05
16,Control,8,2019,4.33,5.18
1,Compost,1,2020,4.12,7.42
2,Control,1,2020,3.95,8.58
3,Compost,2,2020,3.76,10.91
4,Control,2,2020,4.14,8.18
5,Compost,3,2020,4.3,8.91
6,Control,3,2020,4.36,7.97
7,Compost,4,2020,4.05,9.5
8,Control,4,2020,4.27,7.09
9,Compost,5,2020,3,10.89
10,Control,5,2020,4.07,9.01
11,Compost,6,2020,3.72,9.6
12,Control,6,2020,3.39,11.61
13,Compost,7,2020,3.53,11.75
14,Control,7,2020,3.52,12.69
15,Compost,8,2020,3.42,10.61
16,Control,8,2020,3.4,9.61
