Sample_ID,Trt,Block,Year,Weight,001: 10:0,003: 11:0 anteiso,004: 11:0,005: 10:0 2OH,008: 12:0 anteiso,011: 12:0,013: 13:0 anteiso,017: 13:0,019: 14:0 iso,020: 14:0 anteiso,024: 14:1 w5c,026: 14:0,028: 15:1 iso w6c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,034: 15:1 w9c,037: 15:1 w6c,038: 15:1 w5c,039: 16:1 w9c aldehyde,041: 15:0,042: 16:1 w7c alcohol,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,051: 16:1 w6c,052: 16:1 w5c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,060: 17:1 anteiso w7c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,065: 17:1 w7c,066: 17:1 w6c,067: 17:0 cyclo w7c,068: 17:1 w5c,069: 17:1 w4c,070: 17:1 w3c,071: 17:0,072: 17:1 w7c 10-methyl,073: 16:0 2OH,074: 17:0 10-methyl,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:0,087: 18:1 w7c 10-methyl,088: 17:0 iso 3OH,089: 18:0 10-methyl,092: 19:0 iso,094: 19:0 anteiso,097: 19:1 w7c,099: 19:0 cyclo w9c,100: 19:0 cyclo w7c,102: 19:1 w7c 10-methyl,106: 20:0 iso,108: 20:1 w9c,109: 20:1 w8c,110: 20:1 w6c,113:20:00,tot.biomass
1,Compost,1,Post.2018,2.0448,0,0,0,0,0,0,0,0,3.718457133,0.390699047,0,9.085958429,2.563544687,0.808792021,22.59251296,16.82429924,0,0,0.399188257,0,2.995743908,0.55552232,8.271093698,0.689700285,3.439425333,21.17868226,6.285035595,25.218211,78.42665986,0,24.23085168,5.935853564,2.049876767,0.835194705,8.633717747,8.324849753,2.579633676,0,2.65465183,0,0,0,0,3.124719954,3.002304636,0,1.90915657,1.700475788,3.933750479,26.82038542,63.45337712,6.788021851,43.00886216,3.571518088,0.741099891,6.378142187,2.866273182,0,2.845550249,0,3.346282496,0,0,2.71440123,0,1.21090977,3.296352632,439.3997395
2,Control,1,Post.2018,2.1075,0,0,0,0,0,0,0,0,2.053131337,0,0,2.760751377,2.155541988,0.582909309,17.72289134,15.45040686,0,0,0,0,1.322655272,0,7.54894183,0.384650101,0,0,27.41568011,15.9254344,42.29443177,0,17.03510498,4.317623975,2.394142367,1.283966026,7.870601579,7.870057965,1.040609564,1.824032568,2.044364956,0,0,0,0,1.666350863,2.884331716,0,1.534395785,0.431696236,0,9.976166703,44.2729464,6.000099087,12.0269328,1.438319371,0,6.73013663,0,2.190564139,2.413245754,1.359732729,0,0,0,1.261169729,1.930905568,0,3.215240066,280.6301633
3,Compost,2,Post.2018,2.1707,0,0,0,0,0,0,0,0,2.673478065,0,0,3.144671902,2.457138187,0.91532509,19.96042659,14.95561746,0,0,0.314412817,0,1.731144601,0,7.886550297,0.63367512,2.812766659,17.27475545,7.020236337,23.51499737,43.06534709,0,22.78626141,6.14386842,2.302922271,0.996421736,8.387252659,7.767531396,2.503517214,0,2.540651437,0,0,0,0,1.618804948,2.683230708,0,1.86415903,1.510091181,3.817536329,20.40818898,48.67258873,6.266270262,11.96003426,3.876219881,0,6.74195495,3.781893755,0,2.865522445,1.322665188,1.440980682,0,0.399144984,2.58254855,0,1.108792958,2.321209995,327.0308074
4,Control,2,Post.2018,2.1156,0,0,0,0,0,0,0,0,1.724569187,0,0,2.11274288,1.635398962,0.570127753,13.4932816,10.24402698,0,0,0,0,1.144932185,0,5.194006438,0.369181998,1.928712532,9.898950768,5.574371081,16.11210716,32.44726093,0,15.09192218,4.131787987,1.384836987,0,6.604147269,4.846325503,1.317124934,0,1.379966384,0,0,0,0,1.020365446,1.71819328,0,1.234000886,0.91637908,2.472693874,13.14074828,30.2607077,3.925870178,8.800085346,2.504719898,0,4.740493438,0,0,1.843969318,1.004777367,0.65152471,0,0,1.848364215,0,0.70582273,2.154243463,216.1487409
5,Compost,3,Post.2018,2.2146,0,0,0,0,0,0,0,0,4.051224093,0,0,4.789900931,3.350884508,0.645783978,24.40438122,19.90601948,0,0,0.767056193,0,2.850622288,0,9.787549139,0.676644825,0,33.46686187,0,16.57152888,59.20364439,0,23.78921527,5.642647044,2.227463696,1.225123798,9.268433571,8.681541052,2.14634257,0,2.747343487,0,0,0,0,2.058613167,3.333897503,0,2.419808427,0.703462973,3.107104033,19.04533441,54.63555416,5.848062553,17.13235397,2.715422474,0,7.951344523,2.734285025,0,2.90170809,1.251777849,0,0,0,2.429936385,2.078310592,0,3.404449026,369.9516374
6,Control,3,Post.2018,2.1454,0,0,0,0,0,0,0,0,2.706951742,0,0,3.544182684,2.940478457,0.850235851,21.25278363,16.08389523,0,0,0,0,2.033647539,0,9.229041846,0.742148208,3.088887465,17.85647869,6.656617407,27.53086274,48.28993425,0,24.89985031,6.480148336,2.384213633,0,9.620738788,8.31266755,2.83884305,0,2.579920694,0,0,0,0,1.726150247,3.755279166,0,2.35979289,1.014126083,4.646831668,21.8808505,44.44044219,5.854440001,13.38626876,3.240411025,0,8.760458396,3.549931551,0,2.64035685,0,2.997924179,0,0,2.848585348,0,1.037702344,3.582333342,347.6444126
7,Compost,4,Post.2018,2.372,0,0,0,0,0,0,0,0,2.048457994,0,0,2.957191687,2.653981341,0.69221658,17.13104257,12.50146457,0,0,0,0,1.630577689,0,7.09389513,0.505709898,2.001484698,12.18742822,7.215768073,14.76736573,39.82055333,0,17.77957489,4.28558192,1.87616881,0.877478861,6.891912272,6.364220725,1.743572372,0,1.750682191,0,0,0,0,1.5639496,2.195331194,0,1.690047094,1.256402909,3.722765855,14.50275828,39.2812205,4.884557491,12.98749402,3.107387681,0,7.871347639,0,0,2.359854909,1.520928546,0,0,0,1.783818266,0,1.017055707,3.262966418,267.7842157
8,Control,4,Post.2018,2.0679,0,0,0,0,0,0,0,0,3.231659947,0,0,4.3604324,3.704539181,1.246156345,27.49966629,20.55470737,0,0,0,0,2.533490182,0,11.83321597,0.996331735,4.624682362,24.26940568,0,48.85060436,64.27575124,0,36.05195167,8.186258996,5.579275421,0,11.64223908,12.34945155,4.135106215,0,0,4.178599907,0,0,0,2.353835951,4.094798541,0,2.820683814,2.099188094,6.878867281,34.25745995,56.13773968,8.26305501,21.39592143,4.914809278,0,10.95538858,4.577510606,0,2.594505097,0,8.31357089,0,0,4.213142189,0,1.069392648,5.514415702,480.5578106
9,Compost,5,Post.2018,2.0806,0,0,0,0,0,0,0,0,2.413500169,0,0,3.232678437,2.518295325,0.661089323,18.89029935,13.81852733,0,0,0,0,1.934266117,0,7.603873343,0.481290439,1.567037854,9.495661079,11.73178788,16.20470283,45.46917933,0,17.01416821,4.472430601,1.9068549,0,8.682071398,6.640597679,1.242924614,0,1.776016941,0,0,0,0,1.785099969,3.520946314,0,1.850674334,0.485396529,2.089772746,12.06411749,38.69050437,4.32872067,16.47846778,2.432172466,0,6.898277275,0,0,2.123033491,1.023756017,0,0,0,1.700679315,0,1.196823745,4.799760183,279.2254558
10,Control,5,Post.2018,2.1117,0,0,0,0,0,0,0,0,3.399063637,0,0,5.348608757,1.961515546,0,31.73354911,29.81420407,0,0,0,0,3.08513087,0,15.76602398,0.934148506,0,0,0,20.75938886,82.3665261,0,28.92866444,0,0,2.414209266,14.10931861,16.54081333,1.330135193,0,3.159001697,0,0,0,0,3.692387678,5.514552924,0,3.475487135,0,0,12.52356366,70.61063405,10.31282262,30.33709781,0,0,15.62023165,0,0,4.343766293,0,0,0,0,0,1.87157026,0,7.371067821,427.3234839
11,Compost,6,Post.2018,2.1503,0,0,0,0,0,0,0,0,3.556309673,0,0,5.592322545,4.718581499,0,39.66874642,30.19604354,0,0,0,0,3.24582379,0,17.80252943,1.121435643,0,0,52.08176796,28.69431114,91.73774607,0,36.65620143,0,4.309930875,2.329982608,17.13107276,17.54662645,1.986939763,0,3.590728444,0,0,0,0,3.553204232,6.828355753,0,4.142990276,0,1.708796359,21.74889975,89.3253787,10.48236738,30.41413723,3.676987014,0,18.82219296,0,0,6.729896632,0,0,0,0,2.215518957,0,2.686927156,9.107288821,573.4100413
