Sample_ID,Trt,Block,Slope,Depth,Year,total,coarse,fine,2012.total,2012.coarse,2012.fine
1,Compost,1,Down,0to10,2018.sp,2.111,1.73,0.381,1.063,0.826,0.237
2,Control,1,Down,0to10,2018.sp,1.061,0.649,0.411,2.015,1.238,0.777
3,Compost,2,Mid,0to10,2018.sp,0.895,0.611,0.283,1.017,0.253,0.763
4,Control,2,Mid,0to10,2018.sp,1.131,0.913,0.218,1.485,0.687,0.798
5,Compost,3,Down,0to10,2018.sp,0.744,0.573,0.171,0.758,0.519,0.24
6,Control,3,Down,0to10,2018.sp,0.953,0.727,0.226,1.326,1.095,0.23
7,Compost,4,Mid,0to10,2018.sp,1.064,0.792,0.272,1.888,1.392,0.496
8,Control,4,Mid,0to10,2018.sp,0.935,0.73,0.205,2.144,1.163,0.981
9,Compost,5,Down,0to10,2018.sp,1.474,1.244,0.23,1.949,1.295,0.654
10,Control,5,Down,0to10,2018.sp,1.785,1.521,0.264,2.087,1.092,0.995
11,Compost,6,Mid,0to10,2018.sp,1.129,0.747,0.382,1.363,0.618,0.745
12,Control,6,Mid,0to10,2018.sp,1.454,0.842,0.612,3.592,1.439,2.153
13,Compost,7,Down,0to10,2018.sp,1.117,0.697,0.42,1.855,1.272,0.583
14,Control,7,Down,0to10,2018.sp,1.329,0.931,0.398,1.614,1.203,0.411
15,Compost,8,Mid,0to10,2018.sp,1.289,0.933,0.355,0.9,0.607,0.292
16,Control,8,Mid,0to10,2018.sp,2.48,2.102,0.378,1.847,0.808,1.039
1,Compost,1,Down,10to20,2018.sp,0.629,0.529,0.1,0.173,0.144,0.029
2,Control,1,Down,10to20,2018.sp,0.371,0.277,0.094,0.418,0.345,0.073
3,Compost,2,Mid,10to20,2018.sp,0.391,0.265,0.126,0.15,0.105,0.045
4,Control,2,Mid,10to20,2018.sp,0.541,0.388,0.153,0.221,0.115,0.106
5,Compost,3,Down,10to20,2018.sp,0.224,0.197,0.027,0.192,0.115,0.077
6,Control,3,Down,10to20,2018.sp,0.436,0.283,0.153,0.192,0.135,0.057
7,Compost,4,Mid,10to20,2018.sp,0.37,0.261,0.109,,,
8,Control,4,Mid,10to20,2018.sp,0.401,0.25,0.151,0.379,0.219,0.16
9,Compost,5,Down,10to20,2018.sp,0.664,0.45,0.215,0.268,0.158,0.11
10,Control,5,Down,10to20,2018.sp,0.988,0.834,0.154,0.204,0.131,0.074
11,Compost,6,Mid,10to20,2018.sp,0.41,0.3,0.11,0.572,0.471,0.101
12,Control,6,Mid,10to20,2018.sp,0.298,0.161,0.137,0.494,0.334,0.16
13,Compost,7,Down,10to20,2018.sp,0.325,0.247,0.078,0.319,0.233,0.086
14,Control,7,Down,10to20,2018.sp,0.368,0.246,0.122,0.231,0.136,0.095
15,Compost,8,Mid,10to20,2018.sp,0.177,0.11,0.067,0.118,0.093,0.026
16,Control,8,Mid,10to20,2018.sp,0.31,0.177,0.133,0.179,0.107,0.072
1,Compost,1,Down,20to50,2018.sp,0.83,0.545,0.284,0.693,0.589,0.104
2,Control,1,Down,20to50,2018.sp,0.64,0.253,0.387,0.536,0.417,0.119
3,Compost,2,Mid,20to50,2018.sp,0.514,0.304,0.21,0.225,0.173,0.052
4,Control,2,Mid,20to50,2018.sp,0.653,0.514,0.138,0.445,0.222,0.223
5,Compost,3,Down,20to50,2018.sp,0.229,0.087,0.141,0.216,0.179,0.037
6,Control,3,Down,20to50,2018.sp,0.543,0.281,0.262,0.175,0.124,0.05
7,Compost,4,Mid,20to50,2018.sp,0.71,0.331,0.379,0.301,0.2,0.101
