Sample_ID,Trt,Block,Depth,Year,soc.Mg.ha
1,Compost,1,0to10,2018,25.17
2,Control,1,0to10,2018,23.72
3,Compost,2,0to10,2018,23.52
4,Control,2,0to10,2018,21.95
5,Compost,3,0to10,2018,19.42
6,Control,3,0to10,2018,16.51
7,Compost,4,0to10,2018,20.64
8,Control,4,0to10,2018,18.73
9,Compost,5,0to10,2018,20.75
10,Control,5,0to10,2018,19.02
11,Compost,6,0to10,2018,20.69
12,Control,6,0to10,2018,20.45
13,Compost,7,0to10,2018,25.34
14,Control,7,0to10,2018,25.19
15,Compost,8,0to10,2018,22.9
16,Control,8,0to10,2018,21.28
1,Compost,1,10to20,2018,18.74
2,Control,1,10to20,2018,19.10
3,Compost,2,10to20,2018,18.98
4,Control,2,10to20,2018,18.12
5,Compost,3,10to20,2018,15.85
6,Control,3,10to20,2018,14.18
7,Compost,4,10to20,2018,14.83
8,Control,4,10to20,2018,16.48
9,Compost,5,10to20,2018,15.22
10,Control,5,10to20,2018,16.27
11,Compost,6,10to20,2018,15.97
12,Control,6,10to20,2018,16.72
13,Compost,7,10to20,2018,18.43
14,Control,7,10to20,2018,19.10
15,Compost,8,10to20,2018,17.41
16,Control,8,10to20,2018,17.27
1,Compost,1,0to10,2020,30.67
2,Control,1,0to10,2020,25.64
3,Compost,2,0to10,2020,25.59
4,Control,2,0to10,2020,23.46
5,Compost,3,0to10,2020,24.1
6,Control,3,0to10,2020,21.12
7,Compost,4,0to10,2020,26.38
8,Control,4,0to10,2020,21.31
9,Compost,5,0to10,2020,22.93
10,Control,5,0to10,2020,20.2
11,Compost,6,0to10,2020,23.04
12,Control,6,0to10,2020,22.11
13,Compost,7,0to10,2020,29.88
14,Control,7,0to10,2020,25.89
15,Compost,8,0to10,2020,26.97
16,Control,8,0to10,2020,22.43
1,Compost,1,10to20,2020,17.89
2,Control,1,10to20,2020,16.79
3,Compost,2,10to20,2020,17.04
4,Control,2,10to20,2020,15.89
5,Compost,3,10to20,2020,16.39
6,Control,3,10to20,2020,14.67
7,Compost,4,10to20,2020,15.81
8,Control,4,10to20,2020,16.90
9,Compost,5,10to20,2020,16.17
10,Control,5,10to20,2020,12.76
11,Compost,6,10to20,2020,14.90
12,Control,6,10to20,2020,15.33
13,Compost,7,10to20,2020,17.24
14,Control,7,10to20,2020,18.24
15,Compost,8,10to20,2020,17.58
16,Control,8,10to20,2020,15.93
