Sample_ID,Trt,Block,Depth,Year,pH,Mehlich.P.ppm,Potassium.ppm,bulk.density,bulk.density.2012
1,Compost,1,0to10,2018.sp,7.9,16,250,1.34,0.95
2,Control,1,0to10,2018.sp,7.9,8,175,1.32,1.03
3,Compost,2,0to10,2018.sp,7.9,7,115,1.37,1.06
4,Control,2,0to10,2018.sp,8,9,184,1.41,1.1
5,Compost,3,0to10,2018.sp,7.9,20,167,1.49,1.18
6,Control,3,0to10,2018.sp,8,15,154,1.48,1.1
7,Compost,4,0to10,2018.sp,8,13,212,1.37,1.03
8,Control,4,0to10,2018.sp,8,8,211,1.4,1.09
9,Compost,5,0to10,2018.sp,7.9,13,168,1.34,1.03
10,Control,5,0to10,2018.sp,8,8,145,1.42,0.98
11,Compost,6,0to10,2018.sp,7.9,11,310,1.46,1.01
12,Control,6,0to10,2018.sp,8,10,152,1.5,0.94
13,Compost,7,0to10,2018.sp,7.9,8,268,1.44,0.96
14,Control,7,0to10,2018.sp,7.8,10,213,1.45,1.03
15,Compost,8,0to10,2018.sp,7.7,15,261,1.4,1.02
16,Control,8,0to10,2018.sp,7.9,9,192,1.45,1.02
1,Compost,1,10to20,2018.sp,7.9,10,123,1.55,1.16
2,Control,1,10to20,2018.sp,8.1,7,91,1.5,1.09
3,Compost,2,10to20,2018.sp,8.2,6,75,1.4,1.16
4,Control,2,10to20,2018.sp,8.1,6,104,1.52,1.19
5,Compost,3,10to20,2018.sp,8,13,110,1.64,1.18
6,Control,3,10to20,2018.sp,8.1,8,112,1.67,1.28
7,Compost,4,10to20,2018.sp,8.1,6,158,1.58,1.24
8,Control,4,10to20,2018.sp,8.1,6,146,1.58,1.2
9,Compost,5,10to20,2018.sp,8,8,90,1.63,1.15
10,Control,5,10to20,2018.sp,8.2,6,89,1.64,1.14
11,Compost,6,10to20,2018.sp,8.1,5,98,1.52,1.17
12,Control,6,10to20,2018.sp,8.1,7,86,1.59,1.17
13,Compost,7,10to20,2018.sp,7.9,6,200,1.51,1.1
14,Control,7,10to20,2018.sp,7.9,6,147,1.59,1.12
15,Compost,8,10to20,2018.sp,7.8,8,155,1.38,1.15
16,Control,8,10to20,2018.sp,8,6,120,1.49,1.12
1,Compost,1,20to50,2018.sp,7.9,,,1.45,1.12
2,Control,1,20to50,2018.sp,8.1,,,1.44,1.06
3,Compost,2,20to50,2018.sp,8.1,,,1.45,1.1
4,Control,2,20to50,2018.sp,8.1,,,1.44,1.11
5,Compost,3,20to50,2018.sp,8,,,1.76,1.19
6,Control,3,20to50,2018.sp,7.9,,,1.67,1.21
7,Compost,4,20to50,2018.sp,8,,,1.68,1.13
8,Control,4,20to50,2018.sp,8,,,1.6,1.18
9,Compost,5,20to50,2018.sp,8,,,1.56,1.11
10,Control,5,20to50,2018.sp,8.1,,,1.5,1.09
11,Compost,6,20to50,2018.sp,8.1,,,1.51,1.07
12,Control,6,20to50,2018.sp,8.1,,,1.39,1.04
13,Compost,7,20to50,2018.sp,8,,,1.59,1.14
14,Control,7,20to50,2018.sp,8,,,1.56,1.14
15,Compost,8,20to50,2018.sp,8,,,1.53,1.12
